	prefix	input_text	target_text
494	translate turkish to english	Bayanlar ve baylar, lÃ¼tfen bu geceki Ã¶zel konuklar iÃ§in ellerinizi birleÅŸtirin!	Ladies and gentlemen, please join hands for tonight's special guests!
495	translate english to turkish	Ladies and gentlemen, please join hands for tonight's special guests!	Bayanlar ve baylar, lÃ¼tfen bu geceki Ã¶zel konuklar iÃ§in ellerinizi birleÅŸtirin!
496	translate turkish to english	Tom'un size karÅŸÄ± neyi var?	What does Tom have against you?
497	translate english to turkish	What does Tom have against you?	Tom'un size karÅŸÄ± neyi var?
498	translate turkish to english	Tom pasaportunu kaybetti.	Tom lost his passport.
499	translate english to turkish	Tom lost his passport.	Tom pasaportunu kaybetti.
500	translate turkish to english	Sami aniden kÄ±zdÄ±.	Sami was suddenly angry.
501	translate english to turkish	Sami was suddenly angry.	Sami aniden kÄ±zdÄ±.
502	translate turkish to english	Kendini dizginlemeyi Ã¶ÄŸrenmelisin.	You need to learn to restrain yourself.
503	translate english to turkish	You need to learn to restrain yourself.	Kendini dizginlemeyi Ã¶ÄŸrenmelisin.
504	translate turkish to english	Sami Ã§abuk davranmak zorunda.	Sami has to act quickly.
505	translate english to turkish	Sami has to act quickly.	Sami Ã§abuk davranmak zorunda.
506	translate turkish to english	Onun iÃ§in Ã§alÄ±ÅŸÄ±rdÄ±m.	I used to work for him.
507	translate english to turkish	I used to work for him.	Onun iÃ§in Ã§alÄ±ÅŸÄ±rdÄ±m.
508	translate turkish to english	MisafirperverliÄŸiniz iÃ§in size Ã§ok teÅŸekkÃ¼r ederim.	Thank you so much for your hospitality.
509	translate english to turkish	Thank you so much for your hospitality.	MisafirperverliÄŸiniz iÃ§in size Ã§ok teÅŸekkÃ¼r ederim.
510	translate turkish to english	Onlara ne sÃ¶ylemek istersin?	What do you want to tell them?
511	translate english to turkish	What do you want to tell them?	Onlara ne sÃ¶ylemek istersin?
512	translate turkish to english	Bence tekrar dÃ¼ÅŸÃ¼nmelisin.	I think you should reconsider.
513	translate english to turkish	I think you should reconsider.	Bence tekrar dÃ¼ÅŸÃ¼nmelisin.
514	translate turkish to english	Tom'un yeterli parasÄ± olup olmadÄ±ÄŸÄ±nÄ± gÃ¶receÄŸim.	I'll see if Tom has enough money.
515	translate english to turkish	I'll see if Tom has enough money.	Tom'un yeterli parasÄ± olup olmadÄ±ÄŸÄ±nÄ± gÃ¶receÄŸim.
516	translate turkish to english	Sahip olabileceÄŸiniz en bÃ¼yÃ¼k silah insanlarÄ± anlamaktÄ±r.	The greatest weapon you can have is understanding people.
517	translate english to turkish	The greatest weapon you can have is understanding people.	Sahip olabileceÄŸiniz en bÃ¼yÃ¼k silah insanlarÄ± anlamaktÄ±r.
518	translate turkish to english	Beni izleyerek nasÄ±l buldun?	How did you find me by watching?
519	translate english to turkish	How did you find me by watching?	Beni izleyerek nasÄ±l buldun?
520	translate turkish to english	Bir at evimi geÃ§ti.	A horse passed my house.
521	translate english to turkish	A horse passed my house.	Bir at evimi geÃ§ti.
522	translate turkish to english	Sami suÃ§unu gizledi.	Sami hid his crime.
523	translate english to turkish	Sami hid his crime.	Sami suÃ§unu gizledi.
524	translate turkish to english	Kalbim gitgide daha da hÄ±zlÄ± Ã§arpÄ±yordu.	My heart was beating faster and faster.
525	translate english to turkish	My heart was beating faster and faster.	Kalbim gitgide daha da hÄ±zlÄ± Ã§arpÄ±yordu.
526	translate turkish to english	Tom odama geldi.	Tom came into my room.
527	translate english to turkish	Tom came into my room.	Tom odama geldi.
528	translate turkish to english	Tom hastaneye nasÄ±l gitti?	How did Tom get to the hospital?
529	translate english to turkish	How did Tom get to the hospital?	Tom hastaneye nasÄ±l gitti?
530	translate turkish to english	Bu kitap okumaya deÄŸer.	This book is worth reading.
531	translate english to turkish	This book is worth reading.	Bu kitap okumaya deÄŸer.
532	translate turkish to english	Leyla'nÄ±n arkadaÅŸlarÄ± yoktu.	Layla had no friends.
533	translate english to turkish	Layla had no friends.	Leyla'nÄ±n arkadaÅŸlarÄ± yoktu.
534	translate turkish to english	Tom ÅŸaÅŸÄ±rdÄ±.	Tom was surprised.
535	translate english to turkish	Tom was surprised.	Tom ÅŸaÅŸÄ±rdÄ±.
536	translate turkish to english	Deney baÅŸarÄ±lÄ±.	The experiment is successful.
537	translate english to turkish	The experiment is successful.	Deney baÅŸarÄ±lÄ±.
538	translate turkish to english	Tom kendini ciddiye almaz.	Tom doesn't take himself seriously.
539	translate english to turkish	Tom doesn't take himself seriously.	Tom kendini ciddiye almaz.
540	translate turkish to english	Tom genellikle ÅŸapka takmaz.	Tom doesn't usually wear a hat.
541	translate english to turkish	Tom doesn't usually wear a hat.	Tom genellikle ÅŸapka takmaz.
542	translate turkish to english	Beni ÅŸaÅŸÄ±rtmaktan hiÃ§ vazgeÃ§miyorsun.	You never cease to amaze me.
543	translate english to turkish	You never cease to amaze me.	Beni ÅŸaÅŸÄ±rtmaktan hiÃ§ vazgeÃ§miyorsun.
544	translate turkish to english	Sen ve Tom birlikte mi Ã§alÄ±ÅŸÄ±yorsunuz?	Do you and Tom work together?
545	translate english to turkish	Do you and Tom work together?	Sen ve Tom birlikte mi Ã§alÄ±ÅŸÄ±yorsunuz?
546	translate turkish to english	Neden kimse bana inanmayacak?	Why won't anyone believe me?
547	translate english to turkish	Why won't anyone believe me?	Neden kimse bana inanmayacak?
548	translate turkish to english	Biz on yÄ±ldÄ±r hapishane gardiyanlarÄ±ydÄ±k.	We've been prison guards for ten years.
549	translate english to turkish	We've been prison guards for ten years.	Biz on yÄ±ldÄ±r hapishane gardiyanlarÄ±ydÄ±k.
550	translate turkish to english	Tom biraz yardÄ±m kullanabilir.	Tom might be able to use some help.
551	translate english to turkish	Tom might be able to use some help.	Tom biraz yardÄ±m kullanabilir.
552	translate turkish to english	BÃ¼tÃ¼n Ã¶devlerimi yaptÄ±m ve kÄ±sa bir ara vermek istiyorum.	I've done all my homework and I'd like to take a short break.
553	translate english to turkish	I've done all my homework and I'd like to take a short break.	BÃ¼tÃ¼n Ã¶devlerimi yaptÄ±m ve kÄ±sa bir ara vermek istiyorum.
554	translate turkish to english	AkÄ±llÄ± alÄ±ÅŸveriÅŸ dikkatli bir planlama gerektirir.	Smart shopping requires careful planning.
555	translate english to turkish	Smart shopping requires careful planning.	AkÄ±llÄ± alÄ±ÅŸveriÅŸ dikkatli bir planlama gerektirir.
556	translate turkish to english	Tom tÃ¼m ÅŸikÃ¢yetlerinden bÄ±ktÄ±.	Tom got tired of all his complaints.
557	translate english to turkish	Tom got tired of all his complaints.	Tom tÃ¼m ÅŸikÃ¢yetlerinden bÄ±ktÄ±.
558	translate turkish to english	Bu, yolun sonu.	This is the end of the line.
559	translate english to turkish	This is the end of the line.	Bu, yolun sonu.
560	translate turkish to english	Ben Ã§ok iÃ§erim.	I drink a lot.
561	translate english to turkish	I drink a lot.	Ben Ã§ok iÃ§erim.
562	translate turkish to english	Tom eliyle saÃ§Ä±nÄ± dÃ¼zeltti.	Tom fixed his hair with his hand.
563	translate english to turkish	Tom fixed his hair with his hand.	Tom eliyle saÃ§Ä±nÄ± dÃ¼zeltti.
564	translate turkish to english	Onu yapmak benim iÅŸim deÄŸil.	It's not my job to do that.
565	translate english to turkish	It's not my job to do that.	Onu yapmak benim iÅŸim deÄŸil.
566	translate turkish to english	Boston'dan kuzenim olan Tom bugÃ¼n burada.	Tom, my cousin from Boston, is here today.
567	translate english to turkish	Tom, my cousin from Boston, is here today.	Boston'dan kuzenim olan Tom bugÃ¼n burada.
568	translate turkish to english	Para Ã¶dÃ¼lÃ¼, ona bir gitar satÄ±n aldÄ±rdÄ±.	The prize money made him buy a guitar.
569	translate english to turkish	The prize money made him buy a guitar.	Para Ã¶dÃ¼lÃ¼, ona bir gitar satÄ±n aldÄ±rdÄ±.
570	translate turkish to english	Ben genellikle okumada daha iyiyim.	I'm usually better at reading.
571	translate english to turkish	I'm usually better at reading.	Ben genellikle okumada daha iyiyim.
572	translate turkish to english	O harika bir baÅŸarÄ±ydÄ±.	That was a great success.
573	translate english to turkish	That was a great success.	O harika bir baÅŸarÄ±ydÄ±.
574	translate turkish to english	O beni gÃ¼ldÃ¼rdÃ¼.	He made me laugh.
575	translate english to turkish	He made me laugh.	O beni gÃ¼ldÃ¼rdÃ¼.
576	translate turkish to english	EÄŸer Ã¶nemli bir ÅŸey olmasaydÄ±,Tom bunu bana vermezdi.	Tom wouldn't have given it to me if it wasn't important.
577	translate english to turkish	Tom wouldn't have given it to me if it wasn't important.	EÄŸer Ã¶nemli bir ÅŸey olmasaydÄ±,Tom bunu bana vermezdi.
578	translate turkish to english	Tom birgÃ¼n Mary kadar iyi bateri Ã§alabileceÄŸini umuyor.	Tom hopes one day he'll be able to play the drums as well as Mary.
579	translate english to turkish	Tom hopes one day he'll be able to play the drums as well as Mary.	Tom birgÃ¼n Mary kadar iyi bateri Ã§alabileceÄŸini umuyor.
580	translate turkish to english	Tom ehliyetsiz araba sÃ¼rerken yakalandÄ±.	Tom was caught driving without a license.
581	translate english to turkish	Tom was caught driving without a license.	Tom ehliyetsiz araba sÃ¼rerken yakalandÄ±.
582	translate turkish to english	Kimse bizi anlamÄ±yor.	No one understands us.
583	translate english to turkish	No one understands us.	Kimse bizi anlamÄ±yor.
584	translate turkish to english	Resimde Ã¼Ã§ kiÅŸi var.	There are three people in the picture.
585	translate english to turkish	There are three people in the picture.	Resimde Ã¼Ã§ kiÅŸi var.
586	translate turkish to english	Gemiyle seyahat etmeyi gerÃ§ekten seviyorum.	I really like to travel by ship.
587	translate english to turkish	I really like to travel by ship.	Gemiyle seyahat etmeyi gerÃ§ekten seviyorum.
588	translate turkish to english	Tom, bÃ¼tÃ¼n sabah meÅŸgul olacaÄŸÄ±nÄ± dÃ¼ÅŸÃ¼ndÃ¼, ama Ã¶yle deÄŸildi.	Tom thought he'd be busy all morning, but he wasn't.
589	translate english to turkish	Tom thought he'd be busy all morning, but he wasn't.	Tom, bÃ¼tÃ¼n sabah meÅŸgul olacaÄŸÄ±nÄ± dÃ¼ÅŸÃ¼ndÃ¼, ama Ã¶yle deÄŸildi.
590	translate turkish to english	Neden Tom'un kaÃ§masÄ±na yardÄ±m etmedin?	Why didn't you help Tom escape?
591	translate english to turkish	Why didn't you help Tom escape?	Neden Tom'un kaÃ§masÄ±na yardÄ±m etmedin?
592	translate turkish to english	Allah'Ä±m, yalvarmamÄ± duy.	Lord, hear my prayer.
593	translate english to turkish	Lord, hear my prayer.	Allah'Ä±m, yalvarmamÄ± duy.
594	translate turkish to english	Araba frenleri sÄ±kÄ±ÅŸtÄ±ÄŸÄ±nda neredeyse bir kaza yapÄ±yorduk.	We almost had an accident when the car brakes got stuck.
595	translate english to turkish	We almost had an accident when the car brakes got stuck.	Araba frenleri sÄ±kÄ±ÅŸtÄ±ÄŸÄ±nda neredeyse bir kaza yapÄ±yorduk.
596	translate turkish to english	Bir noktada, bu cÃ¼mle Esperanto'ya tercÃ¼me edilecek.	At some point, this sentence will be translated into Esperanto.
597	translate english to turkish	At some point, this sentence will be translated into Esperanto.	Bir noktada, bu cÃ¼mle Esperanto'ya tercÃ¼me edilecek.
598	translate turkish to english	Tom bizim iÃ§in yapmaya sÃ¶z verdiÄŸi ÅŸeyi yaptÄ±.	Tom did what he promised to do for us.
599	translate english to turkish	Tom did what he promised to do for us.	Tom bizim iÃ§in yapmaya sÃ¶z verdiÄŸi ÅŸeyi yaptÄ±.
600	translate turkish to english	Ona neyin yanlÄ±ÅŸ olduÄŸunu sordum.	I asked him what was wrong.
601	translate english to turkish	I asked him what was wrong.	Ona neyin yanlÄ±ÅŸ olduÄŸunu sordum.
602	translate turkish to english	Uykuya ihtiyacÄ±n olduÄŸunu dÃ¼ÅŸÃ¼ndÃ¼m.	I thought you needed sleep.
603	translate english to turkish	I thought you needed sleep.	Uykuya ihtiyacÄ±n olduÄŸunu dÃ¼ÅŸÃ¼ndÃ¼m.
604	translate turkish to english	Onu yapma.	Don't do that.
605	translate english to turkish	Don't do that.	Onu yapma.
606	translate turkish to english	Ä°letiÅŸim anahtardÄ±r.	Communication is the key.
607	translate english to turkish	Communication is the key.	Ä°letiÅŸim anahtardÄ±r.
608	translate turkish to english	Benim tam tersi sorunum var.	I have the opposite problem.
609	translate english to turkish	I have the opposite problem.	Benim tam tersi sorunum var.
610	translate turkish to english	Bir elbise satÄ±n almak ister misin?	Do you want to buy a dress?
611	translate english to turkish	Do you want to buy a dress?	Bir elbise satÄ±n almak ister misin?
612	translate turkish to english	SanÄ±rÄ±m bunu yapmama izin yok.	I guess I'm not allowed to do that.
613	translate english to turkish	I guess I'm not allowed to do that.	SanÄ±rÄ±m bunu yapmama izin yok.
614	translate turkish to english	Tom'un duasÄ± kabul oldu.	Tom's prayer was answered.
615	translate english to turkish	Tom's prayer was answered.	Tom'un duasÄ± kabul oldu.
616	translate turkish to english	Afet filmlerini izlemeyi seviyorum.	I love watching disaster movies.
617	translate english to turkish	I love watching disaster movies.	Afet filmlerini izlemeyi seviyorum.
618	translate turkish to english	Leyla mÃ¼kemmel bir dansÃ§Ä±ydÄ±.	Layla was an excellent dancer.
619	translate english to turkish	Layla was an excellent dancer.	Leyla mÃ¼kemmel bir dansÃ§Ä±ydÄ±.
620	translate turkish to english	Mitt Romney Massachusetts'in eski valisiydi.	Mitt Romney was the former governor of Massachusetts.
621	translate english to turkish	Mitt Romney was the former governor of Massachusetts.	Mitt Romney Massachusetts'in eski valisiydi.
622	translate turkish to english	GeÃ§en ay kaÃ§ tane randevuya gittin?	How many dates did you go on last month?
623	translate english to turkish	How many dates did you go on last month?	GeÃ§en ay kaÃ§ tane randevuya gittin?
624	translate turkish to english	Onu senin iÃ§in yapmadÄ±m.	I didn't do that for you.
625	translate english to turkish	I didn't do that for you.	Onu senin iÃ§in yapmadÄ±m.
626	translate turkish to english	ÃœÃ§ yÄ±l Ã¶nce kÄ±ÅŸÄ±n onunla tanÄ±ÅŸtÄ±m.	I met him three years ago in winter.
627	translate english to turkish	I met him three years ago in winter.	ÃœÃ§ yÄ±l Ã¶nce kÄ±ÅŸÄ±n onunla tanÄ±ÅŸtÄ±m.
628	translate turkish to english	KorkarÄ±m ki o hastadÄ±r.	I'm afraid he's ill.
629	translate english to turkish	I'm afraid he's ill.	KorkarÄ±m ki o hastadÄ±r.
630	translate turkish to english	Mary'den hoÅŸlanÄ±yorsun, deÄŸil mi?	You like Mary, don't you?
631	translate english to turkish	You like Mary, don't you?	Mary'den hoÅŸlanÄ±yorsun, deÄŸil mi?
632	translate turkish to english	Git ve babanÄ±n yanÄ±nda otur.	Go and sit next to your father.
633	translate english to turkish	Go and sit next to your father.	Git ve babanÄ±n yanÄ±nda otur.
634	translate turkish to english	Ã‡ok buyurgansÄ±n.	You're very bossy.
635	translate english to turkish	You're very bossy.	Ã‡ok buyurgansÄ±n.
636	translate turkish to english	Sen bir doÄŸalsÄ±n.	You're a natural.
637	translate english to turkish	You're a natural.	Sen bir doÄŸalsÄ±n.
638	translate turkish to english	Tom, sporun vakit kaybÄ± olduÄŸunu dÃ¼ÅŸÃ¼nÃ¼r.	Tom thinks sports are a waste of time.
639	translate english to turkish	Tom thinks sports are a waste of time.	Tom, sporun vakit kaybÄ± olduÄŸunu dÃ¼ÅŸÃ¼nÃ¼r.
640	translate turkish to english	Ben sadece bunu yapmak istedim.	I just wanted to do it.
641	translate english to turkish	I just wanted to do it.	Ben sadece bunu yapmak istedim.
642	translate turkish to english	Sen Ã§ok safsÄ±n.	You're so naive.
643	translate english to turkish	You're so naive.	Sen Ã§ok safsÄ±n.
644	translate turkish to english	Ä°nsanlar deÄŸiÅŸir.	People change.
645	translate english to turkish	People change.	Ä°nsanlar deÄŸiÅŸir.
646	translate turkish to english	OkumadÄ±ÄŸÄ±m Ã§ok kitabÄ±m var.	I have a lot of books I haven't read.
647	translate english to turkish	I have a lot of books I haven't read.	OkumadÄ±ÄŸÄ±m Ã§ok kitabÄ±m var.
648	translate turkish to english	Hayaletler gÃ¶rÃ¼yorum.	I see ghosts.
649	translate english to turkish	I see ghosts.	Hayaletler gÃ¶rÃ¼yorum.
650	translate turkish to english	Benim en kÃ¶tÃ¼ korkularÄ±m gerÃ§ekleÅŸti.	My worst fears have come true.
651	translate english to turkish	My worst fears have come true.	Benim en kÃ¶tÃ¼ korkularÄ±m gerÃ§ekleÅŸti.
652	translate turkish to english	Seni her zaman Ã¶nemsedim, Tom.	I've always cared about you, Tom.
653	translate english to turkish	I've always cared about you, Tom.	Seni her zaman Ã¶nemsedim, Tom.
654	translate turkish to english	Size gÃ¼veneceÄŸiz.	We'll trust you.
655	translate english to turkish	We'll trust you.	Size gÃ¼veneceÄŸiz.
656	translate turkish to english	Ben onu asla dÃ¼ÅŸÃ¼nmezdim.	I never would've thought of that.
657	translate english to turkish	I never would've thought of that.	Ben onu asla dÃ¼ÅŸÃ¼nmezdim.
658	translate turkish to english	Tren bir tÃ¼nelden geÃ§ti.	The train passed through a tunnel.
659	translate english to turkish	The train passed through a tunnel.	Tren bir tÃ¼nelden geÃ§ti.
660	translate turkish to english	Tom borsada Ã§ok para kazandÄ±.	Tom made a lot of money in the stock market.
661	translate english to turkish	Tom made a lot of money in the stock market.	Tom borsada Ã§ok para kazandÄ±.
662	translate turkish to english	Tom benim Ã¶ÄŸrencim.	Tom is my student.
663	translate english to turkish	Tom is my student.	Tom benim Ã¶ÄŸrencim.
664	translate turkish to english	O ayakkabÄ±larÄ± bir daha giymedim.	I never wore those shoes again.
665	translate english to turkish	I never wore those shoes again.	O ayakkabÄ±larÄ± bir daha giymedim.
666	translate turkish to english	Beni terk etmeyeceÄŸini biliyordum.	I knew you wouldn't leave me.
667	translate english to turkish	I knew you wouldn't leave me.	Beni terk etmeyeceÄŸini biliyordum.
668	translate turkish to english	HiÃ§ kahve istemiyorum.	I don't want any coffee.
669	translate english to turkish	I don't want any coffee.	HiÃ§ kahve istemiyorum.
670	translate turkish to english	Tom Mary'nin John'un dans ettiÄŸini hiÃ§ gÃ¶rmediÄŸini sÃ¶yledi.	Tom said Mary has never seen John dance.
671	translate english to turkish	Tom said Mary has never seen John dance.	Tom Mary'nin John'un dans ettiÄŸini hiÃ§ gÃ¶rmediÄŸini sÃ¶yledi.
672	translate turkish to english	Ben lisedeyken FransÄ±zca okumak zorundaydÄ±m.	I had to study French when I was in high school.
673	translate english to turkish	I had to study French when I was in high school.	Ben lisedeyken FransÄ±zca okumak zorundaydÄ±m.
674	translate turkish to english	Tom, Mary'nin neredeyse hiÃ§ aÄŸlamadÄ±ÄŸÄ±nÄ± sÃ¶yledi.	Tom said Mary hardly ever cried.
675	translate english to turkish	Tom said Mary hardly ever cried.	Tom, Mary'nin neredeyse hiÃ§ aÄŸlamadÄ±ÄŸÄ±nÄ± sÃ¶yledi.
676	translate turkish to english	Tom bir fabrika yapma planÄ±ndan vazgeÃ§ti.	Tom gave up his plan to build a factory.
677	translate english to turkish	Tom gave up his plan to build a factory.	Tom bir fabrika yapma planÄ±ndan vazgeÃ§ti.
678	translate turkish to english	Åžimdi mutlu deÄŸil misin?	Aren't you happy now?
679	translate english to turkish	Aren't you happy now?	Åžimdi mutlu deÄŸil misin?
680	translate turkish to english	Tom bir Ã¶zgÃ¼rlÃ¼kÃ§Ã¼.	Tom is a libertarian.
681	translate english to turkish	Tom is a libertarian.	Tom bir Ã¶zgÃ¼rlÃ¼kÃ§Ã¼.
682	translate turkish to english	GenÃ§ken sadece etek giyerdim.	When I was young, I only wore skirts.
683	translate english to turkish	When I was young, I only wore skirts.	GenÃ§ken sadece etek giyerdim.
684	translate turkish to english	ArapÃ§a Ã¶ÄŸreniyorum.	I'm learning Arabic.
685	translate english to turkish	I'm learning Arabic.	ArapÃ§a Ã¶ÄŸreniyorum.
686	translate turkish to english	SanÄ±rÄ±m burada olmaktan hoÅŸlanacaksÄ±n.	I think you'll enjoy being here.
687	translate english to turkish	I think you'll enjoy being here.	SanÄ±rÄ±m burada olmaktan hoÅŸlanacaksÄ±n.
688	translate turkish to english	KalabalÄ±k trende boÄŸulacaÄŸÄ±mÄ± dÃ¼ÅŸÃ¼ndÃ¼m.	I thought I'd drown on the crowded train.
689	translate english to turkish	I thought I'd drown on the crowded train.	KalabalÄ±k trende boÄŸulacaÄŸÄ±mÄ± dÃ¼ÅŸÃ¼ndÃ¼m.
690	translate turkish to english	SanÄ±rÄ±m bu beni ilgilendirmiyor.	I guess it's none of my business.
691	translate english to turkish	I guess it's none of my business.	SanÄ±rÄ±m bu beni ilgilendirmiyor.
692	translate turkish to english	Ben bu yaz hiÃ§bir yere gitmedim.	I didn't go anywhere this summer.
693	translate english to turkish	I didn't go anywhere this summer.	Ben bu yaz hiÃ§bir yere gitmedim.
694	translate turkish to english	ÅžapkasÄ±nÄ± almak iÃ§in uzandÄ±.	He reached for his hat.
695	translate english to turkish	He reached for his hat.	ÅžapkasÄ±nÄ± almak iÃ§in uzandÄ±.
696	translate turkish to english	Tom iÅŸareti gÃ¶sterdi.	Tom showed the sign.
697	translate english to turkish	Tom showed the sign.	Tom iÅŸareti gÃ¶sterdi.
698	translate turkish to english	Tom neredeyse her ÅŸeyi yer.	Tom eats almost everything.
699	translate english to turkish	Tom eats almost everything.	Tom neredeyse her ÅŸeyi yer.
700	translate turkish to english	Tom'un resmini bugÃ¼nkÃ¼ gazetede gÃ¶rdÃ¼m.	I saw Tom's picture in today's paper.
701	translate english to turkish	I saw Tom's picture in today's paper.	Tom'un resmini bugÃ¼nkÃ¼ gazetede gÃ¶rdÃ¼m.
702	translate turkish to english	KayÄ±t masasÄ± nerede?	Where's the registration desk?
703	translate english to turkish	Where's the registration desk?	KayÄ±t masasÄ± nerede?
704	translate turkish to english	Tom'u sÄ±nÄ±fta horlarken duydum.	I heard Tom snoring in class.
705	translate english to turkish	I heard Tom snoring in class.	Tom'u sÄ±nÄ±fta horlarken duydum.
706	translate turkish to english	Anadili Ä°ngilizce olan biri olmak iki ucu keskin bir kÄ±lÄ±Ã§tÄ±r. Bir yandan dÃ¼nyanÄ±n en kullanÄ±ÅŸlÄ± dilini mÃ¼kemmel ÅŸekilde konuÅŸursun, ama sonra hiÃ§ kimse seninle baÅŸka bir dilde konuÅŸmak istemez, bu yabancÄ± dilleri Ã¶ÄŸrenme sÃ¼recini daha zor yapar.	Being a native speaker of English is a double-edged sword. On the one hand, you speak the world's most practical language perfectly, but then no one wants to talk to you in another language, making it harder to learn foreign languages.
707	translate english to turkish	Being a native speaker of English is a double-edged sword. On the one hand, you speak the world's most practical language perfectly, but then no one wants to talk to you in another language, making it harder to learn foreign languages.	Anadili Ä°ngilizce olan biri olmak iki ucu keskin bir kÄ±lÄ±Ã§tÄ±r. Bir yandan dÃ¼nyanÄ±n en kullanÄ±ÅŸlÄ± dilini mÃ¼kemmel ÅŸekilde konuÅŸursun, ama sonra hiÃ§ kimse seninle baÅŸka bir dilde konuÅŸmak istemez, bu yabancÄ± dilleri Ã¶ÄŸrenme sÃ¼recini daha zor yapar.
708	translate turkish to english	Kimse onu teÅŸvik etmedi.	No one encouraged him.
709	translate english to turkish	No one encouraged him.	Kimse onu teÅŸvik etmedi.
710	translate turkish to english	Åžimdi onunla temas kurmaya Ã§alÄ±ÅŸacaÄŸÄ±m.	I'll try to contact him now.
711	translate english to turkish	I'll try to contact him now.	Åžimdi onunla temas kurmaya Ã§alÄ±ÅŸacaÄŸÄ±m.
712	translate turkish to english	Eski taÅŸ ocaÄŸÄ± ÅŸimdi popÃ¼ler bir yÃ¼zme yeridir.	The old quarry is now a popular swimming place.
713	translate english to turkish	The old quarry is now a popular swimming place.	Eski taÅŸ ocaÄŸÄ± ÅŸimdi popÃ¼ler bir yÃ¼zme yeridir.
714	translate turkish to english	Sami acÄ±sÄ±nÄ± ifade etmek istiyordu.	Sami wanted to express his pain.
715	translate english to turkish	Sami wanted to express his pain.	Sami acÄ±sÄ±nÄ± ifade etmek istiyordu.
716	translate turkish to english	Tom bize, ona vurduÄŸunu sÃ¶yledi.	Tom told us he hit him.
717	translate english to turkish	Tom told us he hit him.	Tom bize, ona vurduÄŸunu sÃ¶yledi.
718	translate turkish to english	O korkunÃ§ bir sahneydi.	That was a terrible scene.
719	translate english to turkish	That was a terrible scene.	O korkunÃ§ bir sahneydi.
720	translate turkish to english	Yaramaz Ã§ocuklara tahammÃ¼l edemiyorum.	I can't stand naughty boys.
721	translate english to turkish	I can't stand naughty boys.	Yaramaz Ã§ocuklara tahammÃ¼l edemiyorum.
722	translate turkish to english	Tom kimin kazandÄ±ÄŸÄ±nÄ± bilmek istedi.	Tom wanted to know who won.
723	translate english to turkish	Tom wanted to know who won.	Tom kimin kazandÄ±ÄŸÄ±nÄ± bilmek istedi.
724	translate turkish to english	Tom Ã§ok yemek yemedi.	Tom didn't eat much.
725	translate english to turkish	Tom didn't eat much.	Tom Ã§ok yemek yemedi.
726	translate turkish to english	Siz Ã§ocuklar birbirinizi seviyorsunuz, deÄŸil mi?	You guys love each other, don't you?
727	translate english to turkish	You guys love each other, don't you?	Siz Ã§ocuklar birbirinizi seviyorsunuz, deÄŸil mi?
728	translate turkish to english	O daha sonra ne sÃ¶yleyeceÄŸini ÅŸaÅŸÄ±rmÄ±ÅŸtÄ±.	He was surprised at what he was going to say next.
729	translate english to turkish	He was surprised at what he was going to say next.	O daha sonra ne sÃ¶yleyeceÄŸini ÅŸaÅŸÄ±rmÄ±ÅŸtÄ±.
730	translate turkish to english	Bir paund Ã§ay satÄ±n aldÄ±k.	We bought a pound of tea.
731	translate english to turkish	We bought a pound of tea.	Bir paund Ã§ay satÄ±n aldÄ±k.
732	translate turkish to english	Omuz masajÄ± ister misiniz?	Would you like a shoulder massage?
733	translate english to turkish	Would you like a shoulder massage?	Omuz masajÄ± ister misiniz?
734	translate turkish to english	Åžantiyelerde, baretler her zaman takÄ±lmalÄ±dÄ±r.	At construction sites, helmets should always be installed.
735	translate english to turkish	At construction sites, helmets should always be installed.	Åžantiyelerde, baretler her zaman takÄ±lmalÄ±dÄ±r.
736	translate turkish to english	Seni gÃ¶rmeye gelmek istiyorum.	I want to come see you.
737	translate english to turkish	I want to come see you.	Seni gÃ¶rmeye gelmek istiyorum.
738	translate turkish to english	Ortak yaptÄ±m.	I made a partner.
739	translate english to turkish	I made a partner.	Ortak yaptÄ±m.
740	translate turkish to english	Jane Ã§ok gÃ¼zel ve nazik.	Jane is so beautiful and kind.
741	translate english to turkish	Jane is so beautiful and kind.	Jane Ã§ok gÃ¼zel ve nazik.
742	translate turkish to english	YeÅŸil bitkiler fotosentez yaparlar.	Green plants photosynthesis.
743	translate english to turkish	Green plants photosynthesis.	YeÅŸil bitkiler fotosentez yaparlar.
744	translate turkish to english	Ã‡ocuklar ekmek yiyor.	The children are eating bread.
745	translate english to turkish	The children are eating bread.	Ã‡ocuklar ekmek yiyor.
746	translate turkish to english	Tom her yerde uyuyabilir.	Tom can sleep anywhere.
747	translate english to turkish	Tom can sleep anywhere.	Tom her yerde uyuyabilir.
748	translate turkish to english	Her zaman, erkekler hakkÄ±nda boÅŸboÄŸazlÄ±k ediyorum.	I'm always blabbering about men.
749	translate english to turkish	I'm always blabbering about men.	Her zaman, erkekler hakkÄ±nda boÅŸboÄŸazlÄ±k ediyorum.
750	translate turkish to english	Tom kuÅŸu kafesinden dÄ±ÅŸarÄ± Ã§Ä±kmasÄ±na izin verdi.	Tom let the bird out of his cage.
751	translate english to turkish	Tom let the bird out of his cage.	Tom kuÅŸu kafesinden dÄ±ÅŸarÄ± Ã§Ä±kmasÄ±na izin verdi.
752	translate turkish to english	Tom, kurallarÄ± bilmediÄŸini sÃ¶yledi.	Tom said he didn't know the rules.
